                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1724,                 3.2662,                 3.8861,                0.38186,                0.05366,                0.07576,                0.02089,                 2.3229,                 4.0055,                 3.7367,             0.00047192,             0.00047192,             0.00047192
                      2,                 2.2166,                 1.9209,                 2.6705,                0.70104,                0.53236,                 0.7182,                0.35533,                 1.6384,                 1.6391,                  2.085,             0.00093887,             0.00093887,             0.00093887
                      3,                 1.7341,                 1.5013,                 2.1255,                0.59391,                0.74036,                0.81201,                0.44724,                 1.4018,                 1.3454,                 1.7389,              0.0013964,              0.0013964,              0.0013964
                      4,                 1.5527,                 1.3193,                 1.9281,                0.75964,                0.79472,                0.81574,                0.44239,                 1.4842,                 1.2157,                 1.7955,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.4698,                 1.2199,                 1.8365,                  0.742,                0.76354,                 0.8376,                0.47762,                 1.3462,                 1.1972,                 1.6487,              0.0013866,              0.0013866,              0.0013866
                      6,                    1.4,                 1.1499,                 1.7602,                0.70804,                0.75447,                0.79781,                0.47766,                 1.3417,                 1.2042,                 1.6805,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.3673,                 1.0934,                 1.7255,                0.75686,                0.86119,                0.88167,                0.52709,                   1.27,                 1.0167,                 1.5648,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.3447,                 1.0755,                 1.6928,                0.79653,                0.84793,                0.85679,                0.54546,                  1.177,                0.95601,                 1.4875,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.3214,                  1.054,                 1.6667,                0.79628,                0.87289,                0.88021,                0.57353,                 1.1827,                0.91752,                 1.4753,                0.00133,                0.00133,                0.00133
                     10,                 1.2921,                 1.0155,                 1.6358,                0.80103,                0.85725,                0.88953,                0.57661,                 1.1726,                 1.0186,                 1.4802,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.2908,                 1.0129,                 1.6313,                0.81468,                0.87259,                0.89433,                0.58517,                 1.1637,                0.87573,                 1.4419,              0.0013017,              0.0013017,              0.0013017
                     12,                  1.275,                0.99067,                 1.6129,                0.80977,                0.88065,                0.88228,                0.55293,                 1.1766,                0.89713,                 1.4789,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.2614,                0.98027,                 1.6012,                0.79321,                0.88759,                0.88868,                0.57649,                 1.1573,                 0.8823,                 1.4794,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.2499,                0.96427,                 1.5948,                0.81855,                0.90017,                0.89922,                0.59167,                 1.1424,                 0.8478,                  1.438,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.2483,                0.95723,                 1.5877,                0.78443,                0.89445,                0.89211,                0.59942,                 1.1416,                0.89056,                 1.4206,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.2433,                0.94657,                 1.5809,                0.83615,                0.87771,                0.90126,                0.58925,                  1.136,                0.87031,                 1.4355,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.2271,                0.92087,                  1.564,                0.83179,                0.88557,                0.89864,                0.60031,                 1.1465,                0.80037,                 1.4124,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.2258,                0.93058,                 1.5644,                0.82224,                 0.8922,                0.91234,                0.61114,                 1.0966,                0.82916,                 1.3924,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.2187,                0.92476,                 1.5509,                0.80286,                0.88702,                0.89971,                 0.6071,                 1.1046,                0.81459,                 1.3964,              0.0011885,              0.0011885,              0.0011885
                     20,                 1.2179,                0.91048,                 1.5501,                0.82753,                0.90576,                0.91209,                0.61492,                 1.1007,                0.84487,                 1.3916,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.2132,                0.90332,                 1.5405,                0.84178,                0.88925,                0.91825,                0.61637,                 1.0872,                0.77284,                  1.375,              0.0011602,              0.0011602,              0.0011602
                     22,                 1.1804,                0.88022,                 1.5151,                0.82711,                0.91115,                0.91237,                 0.6089,                 1.0968,                0.77783,                 1.3724,              0.0011461,              0.0011461,              0.0011461
                     23,                 1.1903,                0.87158,                 1.5294,                0.84411,                0.90302,                0.91621,                0.61838,                 1.0736,                0.76955,                 1.3659,              0.0011319,              0.0011319,              0.0011319
                     24,                  1.186,                0.86901,                  1.516,                0.82312,                   0.92,                0.91562,                0.61759,                 1.0777,                0.76324,                 1.3702,              0.0011178,              0.0011178,              0.0011178
                     25,                 1.1816,                0.86749,                 1.5151,                0.84447,                 0.8956,                0.91663,                0.61516,                 1.0893,                0.82695,                 1.3743,              0.0011036,              0.0011036,              0.0011036
                     26,                 1.1702,                0.86426,                 1.5068,                 0.8235,                0.90048,                0.91663,                0.61187,                 1.1038,                0.79951,                 1.3902,              0.0010895,              0.0010895,              0.0010895
                     27,                 1.1691,                0.85831,                 1.5047,                0.84822,                0.88618,                0.91443,                0.61445,                 1.0841,                0.78159,                 1.3697,              0.0010753,              0.0010753,              0.0010753
                     28,                 1.1632,                0.85257,                 1.4929,                0.84817,                0.90518,                 0.9234,                0.62889,                 1.0564,                0.74143,                 1.3476,              0.0010612,              0.0010612,              0.0010612
                     29,                 1.1764,                0.85113,                 1.5016,                0.83591,                0.91831,                0.92294,                0.62329,                 1.0647,                0.74086,                 1.3553,               0.001047,               0.001047,               0.001047
                     30,                 1.1647,                0.85521,                 1.4892,                0.85657,                0.89794,                0.92241,                0.61195,                 1.0936,                0.79005,                 1.3736,              0.0010329,              0.0010329,              0.0010329
                     31,                 1.1627,                0.84431,                 1.4903,                0.84006,                0.90465,                0.91964,                0.62663,                 1.0691,                0.74608,                 1.3478,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.1456,                0.83812,                  1.473,                0.84455,                0.88502,                0.91622,                0.62581,                 1.0868,                0.74097,                 1.3531,              0.0010046,              0.0010046,              0.0010046
                     33,                 1.1538,                0.83855,                 1.4831,                0.84496,                0.89811,                0.92031,                0.62256,                 1.0625,                0.73848,                 1.3407,             0.00099044,             0.00099044,             0.00099044
                     34,                 1.1431,                  0.829,                 1.4756,                 0.8278,                0.90692,                0.91938,                0.63222,                 1.0775,                0.73938,                 1.3506,             0.00097629,             0.00097629,             0.00097629
