                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3939,                 5.4969,                 5.0763,                 4.1802,                0.00125,                0.40192,                0.00139,                0.00037,                0.00045,                0.23077,                0.00051,                0.00011,                 3.2165,                 4.3528,                 4.6945,                 4.1104,             0.00046442,             0.00046442,             0.00046442
                      2,                 3.1824,                 3.5752,                 4.6345,                  3.927,                0.00134,                0.35481,                 0.0041,                0.00147,                0.00065,                0.17115,                 0.0017,                0.00034,                 3.1124,                 4.0013,                 4.7405,                 3.8604,             0.00093144,             0.00093144,             0.00093144
                      3,                 2.9323,                  2.988,                  4.264,                 3.5223,                 0.0121,                0.09615,                0.01862,                0.00575,                0.00157,                0.40577,                0.03161,                 0.0112,                 2.8528,                 7.3316,                 5.3661,                 4.0794,               0.001389,               0.001389,               0.001389
                      4,                 2.7003,                 2.7923,                 3.8318,                 3.1595,                0.60933,                    0.1,                 0.0561,                0.01841,                0.60933,                    0.1,                0.06742,                0.02831,                 2.9933,                 24.239,                 4.8497,                 3.9634,              0.0013866,              0.0013866,              0.0013866
                      5,                 2.5587,                 2.7209,                 3.5823,                 3.0288,                0.02669,                0.16442,                 0.0167,                0.00509,                0.02162,                0.19519,                 0.0211,                 0.0056,                 2.8325,                 4.5393,                 9.7849,                 3.2568,              0.0013866,              0.0013866,              0.0013866
                      6,                 2.5125,                 2.7003,                 3.3613,                 2.8986,                0.74722,                 0.1125,                0.15168,                0.06136,                0.74722,                 0.1125,                0.15476,                 0.0731,                 2.3998,                 2.6024,                 4.5087,                 2.8643,              0.0013724,              0.0013724,              0.0013724
                      7,                 2.4296,                 2.5282,                 3.2002,                 2.7646,                0.68504,                  0.125,                0.15312,                0.06952,                0.72747,                    0.1,                0.14448,                0.07034,                 2.3113,                 2.6269,                 2.8963,                  2.682,              0.0013583,              0.0013583,              0.0013583
                      8,                 2.3643,                 2.4239,                 3.0255,                  2.728,                0.16249,                0.27596,                0.16749,                0.06058,                0.18541,                0.23173,                0.19289,                0.07445,                 2.2432,                 2.5164,                  2.912,                 2.6597,              0.0013441,              0.0013441,              0.0013441
                      9,                 2.2508,                 2.4975,                 2.8818,                 2.6475,                0.18121,                0.33365,                0.23668,                 0.0908,                0.25499,                0.37212,                0.29184,                0.11916,                 2.4043,                 2.5283,                 3.1385,                 2.7883,                0.00133,                0.00133,                0.00133
                     10,                 2.2159,                 2.3995,                  2.758,                 2.6085,                0.25824,                0.33269,                0.25266,                0.12428,                0.27562,                0.37019,                0.28341,                0.13266,                 2.0992,                 2.3139,                 2.5642,                 2.4964,              0.0013158,              0.0013158,              0.0013158
                     11,                 2.1156,                 2.3464,                 2.6546,                 2.5319,                 0.4613,                0.36442,                0.41128,                0.16291,                0.45482,                0.36442,                0.41106,                0.18645,                  2.104,                 2.2971,                 2.3557,                 2.4453,              0.0013017,              0.0013017,              0.0013017
                     12,                 2.0891,                 2.3534,                 2.6172,                 2.4909,                0.46017,                0.29064,                0.31961,                 0.1483,                0.35274,                0.33173,                0.34992,                0.17718,                 2.0215,                 2.2422,                   2.57,                 2.4171,              0.0012875,              0.0012875,              0.0012875
                     13,                  1.972,                 2.2723,                 2.3973,                 2.3878,                0.39272,                0.35865,                 0.2992,                0.14784,                0.40681,                0.39615,                0.34177,                0.16125,                 2.0843,                 2.1934,                 2.4318,                 2.5171,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.9869,                  2.302,                 2.4306,                  2.411,                0.33531,                0.55179,                0.42179,                0.19053,                0.34072,                0.57404,                0.41097,                0.20258,                 1.8855,                 2.2689,                 2.3085,                 2.3674,              0.0012592,              0.0012592,              0.0012592
                     15,                  1.895,                 2.3752,                 2.4023,                 2.3205,                0.37165,                0.36538,                0.37819,                0.16468,                0.39873,                0.40385,                0.40009,                 0.2161,                 1.9794,                 2.1932,                 2.6864,                 2.4183,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.8312,                 2.2612,                  2.262,                 2.2467,                0.39941,                0.37788,                0.33478,                0.17401,                 0.4281,                0.41635,                0.38212,                 0.2024,                 2.0539,                 2.2054,                 2.3607,                 2.5316,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.8611,                 2.1527,                 2.2793,                 2.2996,                0.77148,                    0.2,                0.23784,                0.12268,                0.78652,                 0.2182,                0.24429,                 0.1414,                 2.0901,                 2.6911,                 4.4112,                 2.5784,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.8134,                 2.1448,                 2.2067,                   2.24,                0.28407,                0.35673,                0.35145,                0.18056,                0.33345,                0.32335,                0.36227,                0.19003,                 1.8346,                 2.2107,                 2.2978,                 2.2753,              0.0012026,              0.0012026,              0.0012026
